Name	Year	Decade	Abilities	AbilitiesCount	Partnerships	PartnershipsCount	URL	ImageURL	localFilePath	NameCaps	PartnershipsCaps	AbilitiesCaps
Simon Baz	2012	2010	Skilled marksman and gunsmith,Flight,Force field,Generation of hard-light constructs,Real-time translation of all languages,Space & time travel,Energy projection & absorption,Material & mind alteration,Holographic projection,Phasing,Emerald sight,Environmental playback,Will empowerment,Invisibility and Light Refraction,Wormholes and Spatial warps,Limited cellular regeneration,Electromagnetic scanning,Galactic Encyclopedia,Ring duplication,Emergency homing beacon,Pocket dimensions,Resurrection,Security protocol,Preset conditions,Thought relay	25		0	https://en.wikipedia.org/wiki/Simon_Baz	https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Simon_Baz_with_gun.jpg/250px-Simon_Baz_with_gun.jpg	img.dc_chars/17.jpg	SIMON BAZ		SKILLED MARKSMAN AND GUNSMITH,FLIGHT,FORCE FIELD,GENERATION OF HARD-LIGHT CONSTRUCTS,REAL-TIME TRANSLATION OF ALL LANGUAGES,SPACE & TIME TRAVEL,ENERGY PROJECTION & ABSORPTION,MATERIAL & MIND ALTERATION,HOLOGRAPHIC PROJECTION,PHASING,EMERALD SIGHT,ENVIRONMENTAL PLAYBACK,WILL EMPOWERMENT,INVISIBILITY AND LIGHT REFRACTION,WORMHOLES AND SPATIAL WARPS,LIMITED CELLULAR REGENERATION,ELECTROMAGNETIC SCANNING,GALACTIC ENCYCLOPEDIA,RING DUPLICATION,EMERGENCY HOMING BEACON,POCKET DIMENSIONS,RESURRECTION,SECURITY PROTOCOL,PRESET CONDITIONS,THOUGHT RELAY
The Beefeater	1989	1980	Power Rod	1		0	https://en.wikipedia.org/wiki/Beefeater_(character)	https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Beefeaterdcu1.jpg/250px-Beefeaterdcu1.jpg	img.dc_chars/18.jpg	THE BEEFEATER		POWER ROD
Belyllioth	1996	1990	Magic,Sharp claws,Control of 1/13th of Hell's demons	3		0	https://en.wikipedia.org/wiki/Belyllioth	https://upload.wikimedia.org/wikipedia/en/e/e8/BelylliothFull.jpg	img.dc_chars/19.jpg	BELYLLIOTH		MAGIC,SHARP CLAWS,CONTROL OF 1/13TH OF HELL'S DEMONS
Beowulf	1975	1970	Expert  swordsman,superhuman strength,speed	3		0	https://en.wikipedia.org/wiki/Beowulf_(DC_Comics)	https://upload.wikimedia.org/wikipedia/en/2/2f/BeowulfDCU0.jpg	img.dc_chars/20.jpg	BEOWULF		EXPERT  SWORDSMAN,SUPERHUMAN STRENGTH,SPEED
Bizarro	1958	1950	Superhuman strength, stamina, endurance, speed, recovery, and hearing,Invulnerability,Flight,Omnireplication,Kryptonite empowerment,Ice, x-ray, telescopic, and microscopic vision,Fire and vacuum breath	7		0	https://en.wikipedia.org/wiki/Bizarro	https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Bizarro.png/250px-Bizarro.png	img.dc_chars/21.png	BIZARRO		SUPERHUMAN STRENGTH, STAMINA, ENDURANCE, SPEED, RECOVERY, AND HEARING,INVULNERABILITY,FLIGHT,OMNIREPLICATION,KRYPTONITE EMPOWERMENT,ICE, X-RAY, TELESCOPIC, AND MICROSCOPIC VISION,FIRE AND VACUUM BREATH
Bizarra	1984	1980	Reverse abilities of  Wonder Woman  including super-strength,a magic lasso that forces one to tell lies	2		0	https://en.wikipedia.org/wiki/Bizarra	https://upload.wikimedia.org/wikipedia/en/b/be/Bizarra.jpg	img.dc_chars/22.jpg	BIZARRA		REVERSE ABILITIES OF  WONDER WOMAN  INCLUDING SUPER-STRENGTH,A MAGIC LASSO THAT FORCES ONE TO TELL LIES
Black Lightning	1977	1970	Manipulates electricity to various effects, including shooting lightning bolts, exerting electromagnetism, and deflecting attacks.,Highly skilled fighter in martial arts	2		0	https://en.wikipedia.org/wiki/Black_Lightning	https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Black_Lightning_%28DC_Rebirth_version%29.png/250px-Black_Lightning_%28DC_Rebirth_version%29.png	img.dc_chars/23.png	BLACK LIGHTNING		MANIPULATES ELECTRICITY TO VARIOUS EFFECTS, INCLUDING SHOOTING LIGHTNING BOLTS, EXERTING ELECTROMAGNETISM, AND DEFLECTING ATTACKS.,HIGHLY SKILLED FIGHTER IN MARTIAL ARTS
The Black Pirate	1940	1940	Incorporeal ghost form	1		0	https://en.wikipedia.org/wiki/Black_Pirate	https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Black_Pirate.jpeg/250px-Black_Pirate.jpeg	img.dc_chars/24.jpeg	THE BLACK PIRATE		INCORPOREAL GHOST FORM
Bloodwynd	1992	1990	Mystic blood gem grants various magical abilities	1		0	https://en.wikipedia.org/wiki/Bloodwynd	https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Bloodwynd_0.png/250px-Bloodwynd_0.png	img.dc_chars/25.png	BLOODWYND		MYSTIC BLOOD GEM GRANTS VARIOUS MAGICAL ABILITIES
Dan GarrettBlue Beetle	1939	1930	"Scarab:
Flight
Energy projection
Superhuman strength
Superhuman durability,Flight,Energy projection,Superhuman strength,Superhuman durability"	5		0	https://en.wikipedia.org/wiki/Blue_Beetle_(Dan_Garrett)	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Blue_Beetle_04.jpg/250px-Blue_Beetle_04.jpg	img.dc_chars/26.jpg	DAN GARRETTBLUE BEETLE		"SCARAB:
FLIGHT
ENERGY PROJECTION
SUPERHUMAN STRENGTH
SUPERHUMAN DURABILITY,FLIGHT,ENERGY PROJECTION,SUPERHUMAN STRENGTH,SUPERHUMAN DURABILITY"
Jaime ReyesBlue Beetle	2006	2000	"Reach Scarab armored suit grants:
Flight
Superhuman strength and durability
Melee weapon production
Translation of alien languages
Energy pulse shield projection
Ability to create and unleash powerful hand blasts/beams
Sound manipulation
Technomorphy
Pyrokinesis & Mechanokinesis
Mind link with the Scarab due to his bond with Khaji Da,Flight,Superhuman strength and durability
Melee weapon production,Melee weapon production,Translation of alien languages,Energy pulse shield projection,Ability to create and unleash powerful hand blasts/beams,Sound manipulation,Technomorphy,Pyrokinesis & Mechanokinesis,Mind link with the Scarab due to his bond with Khaji Da"	11	Batman,Booster Gold,Traci Thirteen,Robin,Static,Miss Martian,Peacemaker,Starfire	8	https://en.wikipedia.org/wiki/Blue_Beetle_(Jaime_Reyes)	https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Blue_Beetle_Reyes.PNG/250px-Blue_Beetle_Reyes.PNG	img.dc_chars/27.PNG	JAIME REYESBLUE BEETLE	BATMAN,BOOSTER GOLD,TRACI THIRTEEN,ROBIN,STATIC,MISS MARTIAN,PEACEMAKER,STARFIRE	"REACH SCARAB ARMORED SUIT GRANTS:
FLIGHT
SUPERHUMAN STRENGTH AND DURABILITY
MELEE WEAPON PRODUCTION
TRANSLATION OF ALIEN LANGUAGES
ENERGY PULSE SHIELD PROJECTION
ABILITY TO CREATE AND UNLEASH POWERFUL HAND BLASTS/BEAMS
SOUND MANIPULATION
TECHNOMORPHY
PYROKINESIS & MECHANOKINESIS
MIND LINK WITH THE SCARAB DUE TO HIS BOND WITH KHAJI DA,FLIGHT,SUPERHUMAN STRENGTH AND DURABILITY
MELEE WEAPON PRODUCTION,MELEE WEAPON PRODUCTION,TRANSLATION OF ALIEN LANGUAGES,ENERGY PULSE SHIELD PROJECTION,ABILITY TO CREATE AND UNLEASH POWERFUL HAND BLASTS/BEAMS,SOUND MANIPULATION,TECHNOMORPHY,PYROKINESIS & MECHANOKINESIS,MIND LINK WITH THE SCARAB DUE TO HIS BOND WITH KHAJI DA"
Blue Devil	1984	1980	Superhuman strength, durability, agility, and senses,Enhanced vision and hearing,Master martial artist and hand-to-hand combatant,Expert acrobat,Nigh-invulnerability,Healing factor,Utilizes the Trident of Lucifer,Can find demons on Earth and banish them to Hell	8		0	https://en.wikipedia.org/wiki/Blue_Devil_(DC_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Blue_Devil_%28Dan_Cassidy%29.png/250px-Blue_Devil_%28Dan_Cassidy%29.png	img.dc_chars/28.png	BLUE DEVIL		SUPERHUMAN STRENGTH, DURABILITY, AGILITY, AND SENSES,ENHANCED VISION AND HEARING,MASTER MARTIAL ARTIST AND HAND-TO-HAND COMBATANT,EXPERT ACROBAT,NIGH-INVULNERABILITY,HEALING FACTOR,UTILIZES THE TRIDENT OF LUCIFER,CAN FIND DEMONS ON EARTH AND BANISH THEM TO HELL
Bombshell	2006	2000	Flight,Superhuman strength and durability,Energy blasts	3		0	https://en.wikipedia.org/wiki/Bombshell_(DC_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/9/91/BombshellTT39.jpg/200px-BombshellTT39.jpg	img.dc_chars/29.jpg	BOMBSHELL		FLIGHT,SUPERHUMAN STRENGTH AND DURABILITY,ENERGY BLASTS
Booster Gold	1986	1980	"Power suit grants:
Superhuman strength, speed, endurance, and durability
Extended longevity
Force field generation
Energy blasts via gauntlets
Enhanced senses via visor
Time travel
Flight via ring,Superhuman strength, speed, endurance, and durability,Extended longevity,Force field generation,Energy blasts via gauntlets,Enhanced senses via visor,Time travel,Flight via ring,Expert athlete and hand-to-hand combatant"	9	Blue Beetle,Michelle Carter,Rip Hunter,Godiva,Green Lantern	5	https://en.wikipedia.org/wiki/Booster_Gold	https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Booster_Gold_%28circa_1988%29.png/250px-Booster_Gold_%28circa_1988%29.png	img.dc_chars/30.png	BOOSTER GOLD	BLUE BEETLE,MICHELLE CARTER,RIP HUNTER,GODIVA,GREEN LANTERN	"POWER SUIT GRANTS:
SUPERHUMAN STRENGTH, SPEED, ENDURANCE, AND DURABILITY
EXTENDED LONGEVITY
FORCE FIELD GENERATION
ENERGY BLASTS VIA GAUNTLETS
ENHANCED SENSES VIA VISOR
TIME TRAVEL
FLIGHT VIA RING,SUPERHUMAN STRENGTH, SPEED, ENDURANCE, AND DURABILITY,EXTENDED LONGEVITY,FORCE FIELD GENERATION,ENERGY BLASTS VIA GAUNTLETS,ENHANCED SENSES VIA VISOR,TIME TRAVEL,FLIGHT VIA RING,EXPERT ATHLETE AND HAND-TO-HAND COMBATANT"
Sasha Bordeaux	2000	2000	An  OMAC  cyborg independent of Brother Eye,also infrared vision in cybernetic eye,resistant to telepathy	3		0	https://en.wikipedia.org/wiki/Sasha_Bordeaux	https://upload.wikimedia.org/wikipedia/en/a/a2/Sasha_Bordeaux_%28circa_2006%29.png	img.dc_chars/31.png	SASHA BORDEAUX		AN  OMAC  CYBORG INDEPENDENT OF BROTHER EYE,ALSO INFRARED VISION IN CYBERNETIC EYE,RESISTANT TO TELEPATHY
Bozo the Iron Man	1939	1930	Flight	1		0	https://en.wikipedia.org/wiki/Bozo_the_Iron_Man	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/SmashComicsNumber05.jpg/250px-SmashComicsNumber05.jpg	img.dc_chars/32.jpg	BOZO THE IRON MAN		FLIGHT
Brainiac 5	1961	1960	12th-level intellect,Mechanical aptitude,Force field via belt,Flight via ring	4		0	https://en.wikipedia.org/wiki/Brainiac_5	https://upload.wikimedia.org/wikipedia/en/8/8f/Brianiac_5_%28Post-Infinite_Crisis_version%29.jpg	img.dc_chars/33.jpg	BRAINIAC 5		12TH-LEVEL INTELLECT,MECHANICAL APTITUDE,FORCE FIELD VIA BELT,FLIGHT VIA RING
Stephanie Brown	1992	1990	Expert tracker,Master strategist and tactician,Trained computer hacker,Highly skilled hand-to-hand combatant and martial artist,Expert athlete and acrobat	5	Batman,Oracle,Robin (Tim Drake)	3	https://en.wikipedia.org/wiki/Stephanie_Brown_(character)	https://upload.wikimedia.org/wikipedia/en/7/75/The_Spoiler_%28The_New_52%29.jpg	img.dc_chars/34.jpg	STEPHANIE BROWN	BATMAN,ORACLE,ROBIN (TIM DRAKE)	EXPERT TRACKER,MASTER STRATEGIST AND TACTICIAN,TRAINED COMPUTER HACKER,HIGHLY SKILLED HAND-TO-HAND COMBATANT AND MARTIAL ARTIST,EXPERT ATHLETE AND ACROBAT
Bulleteer	2005	2000	Smartskin originally granted superhuman strength,durability,was later shown to have developed flight	3		0	https://en.wikipedia.org/wiki/Bulleteer	https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Bulleteer_4.jpg/250px-Bulleteer_4.jpg	img.dc_chars/35.jpg	BULLETEER		SMARTSKIN ORIGINALLY GRANTED SUPERHUMAN STRENGTH,DURABILITY,WAS LATER SHOWN TO HAVE DEVELOPED FLIGHT
Bulletman and Bulletgirl	1940	1940	Chemically-induced superhuman strength,intelligence,Gravity Regulator Helmet grants them:,Flight,Bullet deflection	5		0	https://en.wikipedia.org/wiki/Bulletman_and_Bulletgirl	https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Cover_of_Bulletman_no._3.jpg/250px-Cover_of_Bulletman_no._3.jpg	img.dc_chars/36.jpg	BULLETMAN AND BULLETGIRL		CHEMICALLY-INDUCED SUPERHUMAN STRENGTH,INTELLIGENCE,GRAVITY REGULATOR HELMET GRANTS THEM:,FLIGHT,BULLET DEFLECTION
Bunker	2011	2010	Energy constructs	1		0	https://en.wikipedia.org/wiki/Bunker_(character)	https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Bunker_%28a_DC_Comics_character%29.jpg/250px-Bunker_%28a_DC_Comics_character%29.jpg	img.dc_chars/37.jpg	BUNKER		ENERGY CONSTRUCTS
Cassandra Cain	1999	1990	Expert martial artist and hand-to-hand combatant,Peak physical of human conditioning,Able to read body language and anticipate opponents' actions	3	Batman,Stephanie Brown,Barbara Gordon,Jade Tiger,Tim Drake,Duke Thomas	6	https://en.wikipedia.org/wiki/Cassandra_Cain	https://upload.wikimedia.org/wikipedia/en/7/79/Batgirl_Cassandra_Cain_%282024%29_001.png	img.dc_chars/38.png	CASSANDRA CAIN	BATMAN,STEPHANIE BROWN,BARBARA GORDON,JADE TIGER,TIM DRAKE,DUKE THOMAS	EXPERT MARTIAL ARTIST AND HAND-TO-HAND COMBATANT,PEAK PHYSICAL OF HUMAN CONDITIONING,ABLE TO READ BODY LANGUAGE AND ANTICIPATE OPPONENTS' ACTIONS
Captain Atom	1960	1960	Superhuman strength, speed, stamina, and reflexes,Anti-magic,Time manipulation,Time travel,Teleportation,Atomic manipulation,Atomic transmutation,Quantum field manipulation,Fundamental-forces control,Energy projection,Energy absorption,Reality alteration,Flight,Immortality,Invulnerability,Matter manipulation,Matter generation,Matter absorption,Regeneration,Bio-fission,Size alteration,Self-sustenance,Space vacuum adaptation,Power augmentation,Power distribution (Nathaniel)See: Powers and abilities	25	Nightshade,Plastique,Forerunner	3	https://en.wikipedia.org/wiki/Captain_Atom	https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Captain_Atom_%28Nathaniel_Christopher_Adam%29.png/250px-Captain_Atom_%28Nathaniel_Christopher_Adam%29.png	img.dc_chars/39.png	CAPTAIN ATOM	NIGHTSHADE,PLASTIQUE,FORERUNNER	SUPERHUMAN STRENGTH, SPEED, STAMINA, AND REFLEXES,ANTI-MAGIC,TIME MANIPULATION,TIME TRAVEL,TELEPORTATION,ATOMIC MANIPULATION,ATOMIC TRANSMUTATION,QUANTUM FIELD MANIPULATION,FUNDAMENTAL-FORCES CONTROL,ENERGY PROJECTION,ENERGY ABSORPTION,REALITY ALTERATION,FLIGHT,IMMORTALITY,INVULNERABILITY,MATTER MANIPULATION,MATTER GENERATION,MATTER ABSORPTION,REGENERATION,BIO-FISSION,SIZE ALTERATION,SELF-SUSTENANCE,SPACE VACUUM ADAPTATION,POWER AUGMENTATION,POWER DISTRIBUTION (NATHANIEL)SEE: POWERS AND ABILITIES
Captain Comet	1951	1950	Superhuman strength,invulnerability,Immense telekinetic,telepathic powers,Flight,Super speed,Tremendous intellect,Photographic memory,Concussive energy shot,Aura  vision,Teleportation,Clairvoyance,Postcognition,Extended lifespan,Accelerated healing,Invisibility	16		0	https://en.wikipedia.org/wiki/Captain_Comet	https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Comet_shanedavis.jpg/250px-Comet_shanedavis.jpg	img.dc_chars/40.jpg	CAPTAIN COMET		SUPERHUMAN STRENGTH,INVULNERABILITY,IMMENSE TELEKINETIC,TELEPATHIC POWERS,FLIGHT,SUPER SPEED,TREMENDOUS INTELLECT,PHOTOGRAPHIC MEMORY,CONCUSSIVE ENERGY SHOT,AURA  VISION,TELEPORTATION,CLAIRVOYANCE,POSTCOGNITION,EXTENDED LIFESPAN,ACCELERATED HEALING,INVISIBILITY
Captain Triumph	1943	1940	Flight,Near invulnerability,Invisibility,Limited superhuman strength,Ability to alter his physical appearance,shape,size,voice	8		0	https://en.wikipedia.org/wiki/Captain_Triumph	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Crack_Comics_-27%2C_Cover.jpg/250px-Crack_Comics_-27%2C_Cover.jpg	img.dc_chars/41.jpg	CAPTAIN TRIUMPH		FLIGHT,NEAR INVULNERABILITY,INVISIBILITY,LIMITED SUPERHUMAN STRENGTH,ABILITY TO ALTER HIS PHYSICAL APPEARANCE,SHAPE,SIZE,VOICE
Catwoman	1940	1940	Expert burglar,Martial arts and hand-to-hand combat expertise,Highly skilled gymnast and acrobat,Proficient with whip and retractable claws	4	Batman,Holly Robinson,Slam Bradley	3	https://en.wikipedia.org/wiki/Catwoman	https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Catwoman_Infobox.jpg/250px-Catwoman_Infobox.jpg	img.dc_chars/42.jpg	CATWOMAN	BATMAN,HOLLY ROBINSON,SLAM BRADLEY	EXPERT BURGLAR,MARTIAL ARTS AND HAND-TO-HAND COMBAT EXPERTISE,HIGHLY SKILLED GYMNAST AND ACROBAT,PROFICIENT WITH WHIP AND RETRACTABLE CLAWS
Centrix	1994	1990	Energy wave projection	1		0	https://en.wikipedia.org/wiki/Centrix	https://upload.wikimedia.org/wikipedia/en/3/38/Centrix.jpg	img.dc_chars/43.jpg	CENTRIX		ENERGY WAVE PROJECTION
